LakeIndex,Ref,Site,day,month,year,time,measurement_frequency,reported_frequency,Latitude,Longitude,LakeType,LakeArea_km2,Climate,Temp_C,DO_mgL,pH,Cond_uScm,CO2_uM,DirectIndirect_CO2,CH4_uM,N2O_uM,FluxMethod,F_CO2_mmol_m2_d,F_CH4_diff_mmol_m2_d,F_CH4_eb_mmol_m2_d,F_N2O_mmol_m2_d,k600_md,Wind_ms
2,179,"Malawi Lake",1,12,2013,NaT,monthly,annual,-13.61,34.77,lake,29544,2,NaN,NaN,NaN,NaN,16.3152285237408,direct,NaN,NaN,modelled-empirical,-1.79,NaN,NaN,NaN,NaN,2
2,179,"Malawi Lake",1,12,2013,NaT,monthly,annual,-14.157517,35.112017,lake,29544,2,NaN,NaN,NaN,NaN,17.876665563336,direct,NaN,NaN,modelled-empirical,-2.25,NaN,NaN,NaN,NaN,2
106,199,"Dalongdong Reservoir",1,7,2017,NaT,monthly,annual,23.595059,108.581425,reservoir,14.23,4,NaN,9.93,8.3,NaN,52.4291125267622,indirect,NaN,NaN,modelled-empirical,49.1,NaN,NaN,NaN,NaN,1.733
6,267,"Lake Taihu",1,7,2008,NaT,seasonal,annual,31.21,120.3,lake,2329.14,4,17.9,NaN,8.18,NaN,32.457953055157,indirect,NaN,NaN,modelled-empirical,18.2,NaN,NaN,NaN,NaN,2.492
55,5,"Petit Saut Reservoir",1,12,2003,12:00:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,124.225434151503,direct,0.101563002130261,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:16:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,122.670982400572,direct,0.273491022410096,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:32:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,135.77178959184,direct,0.292820208082249,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:00:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,80.2666594175258,direct,0.254161836737943,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:02:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,101.272763917027,direct,0.179897070543572,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:03:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.2351718098576,direct,0.258231138881342,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:06:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.3051921537526,direct,0.337073870119232,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:08:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.3752124976475,direct,0.339617184015511,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:09:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,103.618445603885,direct,0.34216049791179,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:12:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.5082511344104,direct,0.268658725992058,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:13:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.5712694688723,direct,0.270947708513817,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:16:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.6412898127673,direct,0.275780004931855,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:18:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.7113101566622,direct,0.353351079146066,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
55,5,"Petit Saut Reservoir",1,12,2003,12:19:00 PM,single,single,5.062728,-53.046628,reservoir,41.57,1,NaN,NaN,NaN,NaN,99.7603243890699,direct,0.128013466787535,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.483
238,237,"Gold Creek reservoir s1",15,8,2013,NaT,single,single,-27.456575,152.875031,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,258.535,NaN,0.00073,NaN,3.392
238,237,"Gold Creek reservoir s2",15,8,2013,NaT,single,single,-27.45955,152.875654,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,21.381,NaN,0.00124,NaN,3.392
238,237,"Gold Creek reservoir s3",15,8,2013,NaT,single,single,-27.461103,152.878446,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,20.452,NaN,0.0014,NaN,3.392
238,237,"Gold Creek reservoir s4",15,8,2013,NaT,single,single,-27.458225,152.87909,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,6.726,NaN,0.0012,NaN,3.392
238,237,"Gold Creek reservoir d5",15,8,2013,NaT,single,single,-27.457947,152.874433,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,28.597,NaN,0.0011,NaN,3.392
238,237,"Gold Creek reservoir d6",15,8,2013,NaT,single,single,-27.458931,152.876903,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,30.274,NaN,0.00087,NaN,3.392
238,237,"Gold Creek reservoir d7",15,8,2013,NaT,single,single,-27.459989,152.87901,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,6.3,NaN,0.00117,NaN,3.392
238,237,"Gold Creek reservoir d8",15,8,2013,NaT,single,single,-27.460808,152.881632,reservoir,0.01,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,NaN,15.952,NaN,0.00122,NaN,3.392
6,268,"Lake Taihu",15,7,2014,NaT,seasonal,annual,31.195862,120.13869,lake,2329.14,4,17.9,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-eddycovariance,NaN,0.092,NaN,NaN,NaN,2.492
131,243,"Peri Lake",1,7,2007,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,22.3,9.5,6.96,NaN,16.1801382090376,indirect,NaN,NaN,modelled-empirical,-0.288,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2008,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,23.1,7.8,7.02,NaN,13.7764203892089,indirect,NaN,NaN,modelled-empirical,-1.44,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2009,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,23.3,8.2,7.12,NaN,7.77760761623538,indirect,NaN,NaN,modelled-empirical,-5.76,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2010,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,22.3,8.2,7.1,NaN,25.8662073409785,indirect,NaN,NaN,modelled-empirical,4.32,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2011,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,22.2,7.8,7.12,NaN,23.8421024006791,indirect,NaN,NaN,modelled-empirical,0.432,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2012,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,23.3,7.7,7.03,NaN,35.7127762562001,indirect,NaN,NaN,modelled-empirical,16.8,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2013,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,22.6,8,6.91,NaN,54.2807995266209,indirect,NaN,NaN,modelled-empirical,33.6,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2014,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,23,7.7,7.04,NaN,36.4439346837655,indirect,NaN,NaN,modelled-empirical,21.6,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2015,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,23.1,7,6.78,NaN,42.6566766738785,indirect,NaN,NaN,modelled-empirical,31.2,NaN,NaN,NaN,NaN,3.267
131,243,"Peri Lake",1,7,2016,NaT,monthly,annual,-27.733,-48.5167,lake,4.93,4,23.9,7.3,6.85,NaN,38.5643080010571,indirect,NaN,NaN,modelled-empirical,21.12,NaN,NaN,NaN,NaN,3.267
73,269,"Lake Donghu",1,4,2003,NaT,seasonal,seasonal,30.55,114.3833,lake,24.28,4,NaN,6.44,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,-5.0553659145783,0.719340604445925,NaN,NaN,NaN,2.083
73,269,"Lake Donghu",1,7,2003,NaT,seasonal,seasonal,30.55,114.3833,lake,24.28,4,NaN,7.49,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,-11.369577886937,5.93455998667888,NaN,NaN,NaN,2.083
73,269,"Lake Donghu",1,10,2003,NaT,seasonal,seasonal,30.55,114.3833,lake,24.28,4,NaN,7.95,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,11.6293397718758,1.2788277412372,NaN,NaN,NaN,2.083
73,269,"Lake Donghu",1,1,2004,NaT,seasonal,seasonal,30.55,114.3833,lake,24.28,4,NaN,7.53,NaN,NaN,NaN,<undefined>,NaN,NaN,measured-chamber,117.492298726168,0.559487136791275,NaN,NaN,NaN,2.083
198,242,"Carioca Lake",21,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,31.3,NaN,6.4,36,11.7205944877269,direct,NaN,NaN,modelled-empirical,0.122,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",22,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.5,NaN,6.2,36,11.9540602489654,direct,NaN,NaN,modelled-empirical,0.198,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",23,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.9,NaN,6.2,36,11.8363863090881,direct,NaN,NaN,modelled-empirical,0.217,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",24,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,31.2,NaN,6.4,36,11.7493680344433,direct,NaN,NaN,modelled-empirical,0.085,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",25,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.6,NaN,6.15,37,11.9244632572282,direct,NaN,NaN,modelled-empirical,0.085,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",26,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.6,NaN,6.18,37,11.9244632572282,direct,NaN,NaN,modelled-empirical,0.055,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",27,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.9,NaN,6.31,37,11.8363863090881,direct,NaN,NaN,modelled-empirical,0.055,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",28,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.5,NaN,6.09,37,11.9540602489654,direct,NaN,NaN,modelled-empirical,0.709,NaN,NaN,NaN,NaN,1.125
198,242,"Carioca Lake",29,1,2015,NaT,daily,daily,-19.757,-42.618,lake,0.12,2,30.9,NaN,6.16,37,11.8363863090881,direct,NaN,NaN,modelled-empirical,0.006,NaN,NaN,NaN,NaN,1.125
11,217,"Lake Kivu",1,1,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.068375,0.00707,modelled-empirical,NaN,0.10413,NaN,-0.0002,NaN,1.933
11,217,"Lake Kivu",1,3,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.061755,0.00744,modelled-empirical,NaN,0.091615,NaN,0.00062,NaN,1.933
11,217,"Lake Kivu",1,4,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.06945,0.00801,modelled-empirical,NaN,0.12447,NaN,0.00195,NaN,1.933
11,217,"Lake Kivu",1,5,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.06513,0.00709,modelled-empirical,NaN,0.10212,NaN,0.00022,NaN,1.933
11,217,"Lake Kivu",1,6,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.06405,0.00752,modelled-empirical,NaN,0.07329,NaN,0.00049,NaN,1.933
11,217,"Lake Kivu",1,7,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.02973,0.0069,modelled-empirical,NaN,0.0324,NaN,-0.00033,NaN,1.933
11,217,"Lake Kivu",1,8,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.02865,0.00831,modelled-empirical,NaN,0.03374,NaN,0.00138,NaN,1.933
11,217,"Lake Kivu",1,9,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.039865,0.00728,modelled-empirical,NaN,0.049825,NaN,0.00018,NaN,1.933
11,217,"Lake Kivu",1,10,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.05892,0.00719,modelled-empirical,NaN,0.08246,NaN,0.00033,NaN,1.933
11,217,"Lake Kivu",1,11,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.05432,0.00627,modelled-empirical,NaN,0.06145,NaN,-0.0009,NaN,1.933
11,217,"Lake Kivu",1,12,2012,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.07108,0.00627,modelled-empirical,NaN,0.08156,NaN,-0.00091,NaN,1.933
11,217,"Lake Kivu",1,1,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.06255,0.00676,modelled-empirical,NaN,0.069945,NaN,-0.00025,NaN,1.933
11,217,"Lake Kivu",1,2,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.0624,0.00929,modelled-empirical,NaN,0.06994,NaN,0.0026,NaN,1.933
11,217,"Lake Kivu",1,3,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.07215,0.00799,modelled-empirical,NaN,0.10213,NaN,0.00159,NaN,1.933
11,217,"Lake Kivu",1,4,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.0762,0.00752,modelled-empirical,NaN,0.11508,NaN,0.00098,NaN,1.933
11,217,"Lake Kivu",1,5,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.092025,0.00728,modelled-empirical,NaN,0.162235,NaN,0.00061,NaN,1.933
11,217,"Lake Kivu",1,6,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.08432,0.00628,modelled-empirical,NaN,0.12469,NaN,NaN,NaN,1.933
11,217,"Lake Kivu",1,7,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.08054,0.00653,modelled-empirical,NaN,0.10078,NaN,0.00092,NaN,1.933
11,217,"Lake Kivu",1,8,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.04513,0.00791,modelled-empirical,NaN,0.06324,NaN,0.00095,NaN,1.933
11,217,"Lake Kivu",1,9,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.067297,0.0079,modelled-empirical,NaN,0.07799,NaN,0.00092,NaN,1.933
11,217,"Lake Kivu",1,10,2013,NaT,monthly,monthly,-2.3374,28.9775,lake,2400.88,2,NaN,NaN,NaN,NaN,NaN,<undefined>,0.05243,0.00826,modelled-empirical,NaN,0.06771,NaN,0.00161,NaN,1.933
14,102,"Lake Apopka",4,3,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,12.61,NaN,8.65,NaN,13.2580791095491,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",18,3,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,21.67,NaN,9.04,NaN,5.1170486240001,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",18,3,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,21.72,NaN,9.06,NaN,4.66219772906583,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",18,3,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,21.78,NaN,9.06,NaN,4.65424633731972,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",18,3,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,21.77,NaN,9.06,NaN,4.43210274338981,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",17,6,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,29.34,NaN,9.09,NaN,5.62417927772496,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",17,6,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,29.36,NaN,9.12,NaN,5.0136264110289,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",17,6,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,29.26,NaN,9.11,NaN,5.17862716074818,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
14,102,"Lake Apopka",17,6,2009,NaT,seasonal,seasonal,28.617,-81.633,lake,123.31,4,28.79,NaN,8.97,NaN,8.29278212760504,direct,NaN,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,2.85
97,153,"Hongfeng reservoir",1,4,2017,NaT,seasonal,seasonal,26.4825,106.4129,reservoir,43.39,4,NaN,NaN,NaN,NaN,NaN,<undefined>,1.32,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.758
97,153,"Hongfeng reservoir",1,8,2017,NaT,seasonal,seasonal,26.4825,106.4129,reservoir,43.39,4,NaN,NaN,NaN,NaN,NaN,<undefined>,0.4,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.758
97,153,"Hongfeng reservoir",1,1,2018,NaT,seasonal,seasonal,26.4825,106.4129,reservoir,43.39,4,NaN,NaN,NaN,NaN,NaN,<undefined>,0.08,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.758
94,153,"Baihua reservoir",1,4,2017,NaT,seasonal,seasonal,26.6517,106.5114,reservoir,11.81,4,NaN,NaN,NaN,NaN,NaN,<undefined>,0.48,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.775
94,153,"Baihua reservoir",1,8,2017,NaT,seasonal,seasonal,26.6517,106.5114,reservoir,11.81,4,NaN,NaN,NaN,NaN,NaN,<undefined>,0.22,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.775
94,153,"Baihua reservoir",1,1,2018,NaT,seasonal,seasonal,26.6517,106.5114,reservoir,11.81,4,NaN,NaN,NaN,NaN,NaN,<undefined>,0.65,NaN,<undefined>,NaN,NaN,NaN,NaN,NaN,1.775
177,230,"Madhurandhagam Lake",3,2,2011,NaT,single,single,12.53203,79.88517,lake,6.29,2,26.4,NaN,8.66,NaN,NaN,<undefined>,1.72,NaN,measured-chamber,1.82,2.3,NaN,NaN,NaN,2.267
176,230,"Kolavai Lake",4,2,2011,NaT,single,single,12.70062,79.99527,lake,6.13,2,23.5,NaN,8.53,NaN,NaN,<undefined>,2.51,NaN,measured-chamber,8.83,1.4,NaN,NaN,NaN,2.25
228,230,"Parapalar Dam",21,2,2011,NaT,single,single,10.43288,77.68913,reservoir,0.58,2,27.5,NaN,8.38,NaN,NaN,<undefined>,0.66,NaN,measured-chamber,1.37,0.29,NaN,NaN,NaN,1.958
178,230,"Palar-Porunthalar Dam",22,2,2011,NaT,single,single,10.38188,77.48873,reservoir,4.76,3,29.6,NaN,8.73,NaN,NaN,<undefined>,0.28,NaN,measured-chamber,3,0.06,NaN,NaN,NaN,1.875
179,230,"Manimuthar Dam",18,3,2011,NaT,single,single,8.64553,77.42357,reservoir,7.75,2,33,NaN,8.52,NaN,NaN,<undefined>,0.01,NaN,measured-chamber,-14.13,0.01,NaN,NaN,NaN,1.967
355,230,"Pulicat Lake",6,4,2011,NaT,single,single,13.73645,80.07686,lake,250,2,32.9,NaN,8.05,NaN,NaN,<undefined>,0.04,NaN,measured-chamber,2.95,0.02,NaN,NaN,NaN,2.55
35,252,"Xinanjiang Reservoir",1,4,2010,NaT,seasonal,seasonal,29.5614,118.9428,reservoir,424.57,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,6.62,NaN,NaN,NaN,NaN,2.4
35,252,"Xinanjiang Reservoir",1,6,2010,NaT,seasonal,seasonal,29.5614,118.9428,reservoir,424.57,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,-9.29,NaN,NaN,NaN,NaN,2.4
35,252,"Xinanjiang Reservoir",1,8,2010,NaT,seasonal,seasonal,29.5614,118.9428,reservoir,424.57,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,-10.79,NaN,NaN,NaN,NaN,2.4
35,252,"Xinanjiang Reservoir",1,11,2010,NaT,seasonal,seasonal,29.5614,118.9428,reservoir,424.57,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,15.71,NaN,NaN,NaN,NaN,2.4
35,252,"Xinanjiang Reservoir",1,1,2011,NaT,seasonal,seasonal,29.5614,118.9428,reservoir,424.57,4,NaN,NaN,NaN,NaN,NaN,<undefined>,NaN,NaN,modelled-empirical,25.11,NaN,NaN,NaN,NaN,2.4
408,286,"Wenwusha Reservoir",1,11,2018,NaT,seasonal,seasonal,25.8752,119.5857,reservoir,5.2,4,NaN,NaN,NaN,NaN,80.196,direct,NaN,NaN,modelled-empirical,12.236,NaN,NaN,NaN,NaN,3.825
408,286,"Wenwusha Reservoir",1,11,2018,NaT,seasonal,seasonal,25.8752,119.5857,reservoir,5.2,4,NaN,NaN,NaN,NaN,87.647,direct,NaN,NaN,modelled-empirical,3.119,NaN,NaN,NaN,NaN,3.825
408,286,"Wenwusha Reservoir",1,11,2018,NaT,seasonal,seasonal,25.8752,119.5857,reservoir,5.2,4,NaN,NaN,NaN,NaN,38.627,direct,NaN,NaN,modelled-empirical,2.491,NaN,NaN,NaN,NaN,3.825
408,286,"Wenwusha Reservoir",1,11,2018,NaT,seasonal,seasonal,25.8752,119.5857,reservoir,5.2,4,NaN,NaN,NaN,NaN,26.078,direct,NaN,NaN,modelled-empirical,1.56,NaN,NaN,NaN,NaN,3.825
408,286,"Wenwusha Reservoir",1,3,2019,NaT,seasonal,seasonal,25.8752,119.5857,reservoir,5.2,4,NaN,NaN,NaN,NaN,33.922,direct,NaN,NaN,modelled-empirical,0.126,NaN,NaN,NaN,NaN,3.825
