Area_Class_text,area_class,climate_zone,area_km2
1-10 km²,4,6,2689.46586
1-10 km²,4,7,796.6714348
1-10 km²,4,8,85.78360786
1-10 km²,4,9,69.47406256
1-10 km²,4,11,1858.964896
1-10 km²,4,12,320.2390735
1-10 km²,4,13,0
1-10 km²,4,14,5813.122871
1-10 km²,4,15,96.02789242
1-10 km²,4,17,5.658301045
1-10 km²,4,18,14.13870011
1-10 km²,4,21,0
1-10 km²,4,22,21.64916639
1-10 km²,4,23,87.6404435
1-10 km²,4,26,0
1-10 km²,4,27,1.211399979
1-10 km²,4,29,1422.006267
1-10 km²,4,30,1.188059932
10-100 km²,5,0,0
10-100 km²,5,1,5580.994048
10-100 km²,5,2,5004.342377
10-100 km²,5,3,11634.57119
10-100 km²,5,4,10318.30181
10-100 km²,5,5,1101.535729
10-100 km²,5,6,3351.835156
10-100 km²,5,7,1879.486596
10-100 km²,5,8,79.41870005
10-100 km²,5,9,308.443328
10-100 km²,5,11,1651.748285
10-100 km²,5,12,477.3225916
10-100 km²,5,13,0
10-100 km²,5,14,7602.501401
10-100 km²,5,15,134.2786546
10-100 km²,5,17,0
10-100 km²,5,18,0
10-100 km²,5,21,0
10-100 km²,5,22,10.39140005
10-100 km²,5,23,892.7636052
10-100 km²,5,26,0
10-100 km²,5,27,0
10-100 km²,5,29,3205.063882
10-100 km²,5,30,0
100-1000 km²,6,0,0
100-1000 km²,6,1,10173.03588
100-1000 km²,6,2,9042.316802
100-1000 km²,6,3,15203.10694
100-1000 km²,6,4,16602.69291
100-1000 km²,6,5,1625.869378
100-1000 km²,6,6,7283.201336
100-1000 km²,6,7,4432.951478
100-1000 km²,6,8,125.6940001
100-1000 km²,6,9,0
100-1000 km²,6,11,442.4951121
100-1000 km²,6,12,470.0079
100-1000 km²,6,13,0
100-1000 km²,6,14,9297.311122
100-1000 km²,6,15,271.7828033
100-1000 km²,6,17,0
100-1000 km²,6,18,0
100-1000 km²,6,21,0
100-1000 km²,6,22,0
100-1000 km²,6,23,2687.101318
100-1000 km²,6,26,0
100-1000 km²,6,27,0
100-1000 km²,6,29,3268.68422
100-1000 km²,6,30,0
1000-10000 km²,7,0,0
1000-10000 km²,7,1,1125.152106
1000-10000 km²,7,2,9070.748639
1000-10000 km²,7,3,42841.80862
1000-10000 km²,7,4,37092.38067
1000-10000 km²,7,5,2198.830499
1000-10000 km²,7,6,1159.104598
1000-10000 km²,7,7,1324.0395
1000-10000 km²,7,8,0
1000-10000 km²,7,9,0
1000-10000 km²,7,11,3931.370102
1000-10000 km²,7,12,7634.38854
1000-10000 km²,7,13,0
1000-10000 km²,7,14,9580.524237
1000-10000 km²,7,15,0
1000-10000 km²,7,17,0
1000-10000 km²,7,18,0
1000-10000 km²,7,21,0
1000-10000 km²,7,22,0
1000-10000 km²,7,23,2393.854411
1000-10000 km²,7,26,0
1000-10000 km²,7,27,0
1000-10000 km²,7,29,3079.317543
1000-10000 km²,7,30,0
>10000 km²,8,0,0
>10000 km²,8,1,0
>10000 km²,8,2,66697.25665
>10000 km²,8,3,62174.0778
>10000 km²,8,4,0
>10000 km²,8,5,0
>10000 km²,8,6,0
>10000 km²,8,7,0
>10000 km²,8,8,0
>10000 km²,8,9,0
>10000 km²,8,11,0
>10000 km²,8,12,0
>10000 km²,8,13,0
>10000 km²,8,14,0
>10000 km²,8,15,0
>10000 km²,8,17,0
>10000 km²,8,18,0
>10000 km²,8,21,0
>10000 km²,8,22,0
>10000 km²,8,23,0
>10000 km²,8,26,0
>10000 km²,8,27,0
>10000 km²,8,29,0
>10000 km²,8,30,0
