Ref	Site name	day	month	year	time	measurement_frequency	reported_frequency	run_on_river	Latitude	Longitude	Climate	Slope	Watershed Area	River width	CO2	CO2_units	CO2_method_cat	CH4	CH4_units	N2O	N2O_units	F_method_cat	F_CO2	F_CO2_units	FCH4_diff_avg_val	F_CH4_units	FCH4_ebb_avg_val	F_CH4_ebb_units	FN2O_avg_val	FN2O_UNITS	Strahler order	Discharge_mean	Discharge_mean_units	Velocity	Velocity_units	Temperature	DO	DO_units	pH	Conductivity	DOC_value	DOC_units	DIC_value	DIC_units	k	k600	k_units	Comments
136	XXH7 	21	5	2016	2:24:00 PM	single	single	NO	31.618517	109.140058	11			5	450.5545349	µatm	indirect																	0.5	m/s 	13.358	8.65	mg L-1	8.56	200.5	1.59	mg/L						
136	XXH8 	21	5	2016	2:55:00 PM	single	single	NO	31.60805556	109.1663	11			9	563.6265259	µatm	indirect																	0.6	m/s 	14.696	8.42	mg L-1	8.46	210.7	0.53	mg/L						
136	XXH9 	21	5	2016	3:21:00 PM	single	single	NO	31.58916667	109.2044444	11			25	336.697876	µatm	indirect																		m/s 	14.319	8.58	mg L-1	8.57	151.7	0.11	mg/L						
136	XXH10 	21	5	2016	3:43:00 PM	single	single	NO	31.590257	109.267568	11			51	316.4656067	µatm	indirect																	0.3	m/s 	15.092	8.55	mg L-1	8.6	155.3	0.69	mg/L						
136	XXH11 	21	5	2016	4:16:00 PM	single	single	NO	31.587588	109.29068	11			155	369.213501	µatm	indirect																	0.4	m/s 	13.219	8.9	mg L-1	8.46	125.9	0.7	mg/L						
136	XXH12 	21	5	2016	5:05:00 PM	single	single	NO	31.577186	109.431915	11			15	203.6843872	µatm	indirect																		m/s 	16.142	10.19	mg L-1	8.87	198.9								
136	XXH13 	21	5	2016	6:07:00 PM	single	single	NO	31.565183	109.570861	11			19	499.5493774	µatm	indirect																	3	m/s 	14.455	9.39	mg L-1	8.46	176.3	1.13	mg/L						
136	DNH4 	22	5	2016	9:26:00 AM	single	single	NO	31.39027778	109.6241667	11			25	507.7068481	µatm	indirect																		m/s 	16.187	8.54	mg L-1	8.5	213.2	0.09	mg/L						
136	XJH5 	22	5	2016	9:44:00 AM	single	single	NO	31.39595	109.55922	11			40	890.5477905	µatm	indirect																		m/s 	18.37	8.08	mg L-1	8.35	358.7	1.16	mg/L						
136	DNH5 	22	5	2016	10:15:00 AM	single	single	NO	31.3937	109.6302778	11			72	394.6625366	µatm	indirect																	0.4	m/s 	19.618	9.15	mg L-1	8.68	292	1.1	mg/L						
136	BLTH 	21	6	2016	3:00:00 PM	single	single	NO	29.4465	107.1030556	11			13	4395.023438	µatm	indirect																	0.2	m/s 	24.7			7.47	225	37.48	mg/L						
136	BNB 	22	6	2016	9:04:00 AM	single	single	NO	29.50871	106.990683	11			31	698.3776245	µatm	indirect																	0.5	m/s 	20			7.96	125.8	14.31	mg/L						
136	BLH 	22	6	2016	10:00:00 AM	single	single	NO	30.298334	108.917792	11			24	1710.620483	µatm	indirect																	0.6	m/s 	23.5			7.84	202.3	22.03	mg/L						
136	BHJH 	22	6	2016	12:00:00 PM	single	single	NO	30.3688	107.986258	11			23	3528.855713	µatm	indirect																	0.4	m/s 	29			7.79	418	13.56	mg/L						
136	BRXH 	22	6	2016	1:14:00 PM	single	single	NO	30.5025	108.0625	11			60	3501.032715	µatm	indirect																			33.5			7.82	344	31.8	mg/L						
136	BDH 	22	6	2016	6:00:00 PM	single	single	NO	31.30194444	108.4811111	11			57	835.1637573	µatm	indirect																	1	m/s 	29.3	8.49	mg L-1	8.25	976	10.3	mg/L						
136	BNH 	23	6	2016	10:00:00 AM	single	single	NO	31.109173	108.211854	11			9	2479.472412	µatm	indirect																	0.2	m/s 	30.4	6.61	mg L-1	8.06	359	34.82	mg/L						
136	BPLH 	23	6	2016	11:25:00 AM	single	single	NO	31.020596	108.316043	11			57	828.9208984	µatm	indirect																			29.4	6.07	mg L-1	8.15	269	10.47	mg/L						
136	BMDX 	23	6	2016	3:47:00 PM	single	single	NO	30.7375	108.6019444	11			60	387.1604919	µatm	indirect																			22.2	8.34	mg L-1	8.42	203	7.54	mg/L						
136	BSBH 	23	6	2016	4:22:00 PM	single	single	NO	30.66166667	108.6019444	11			13	417.3555298	µatm	indirect																			28.9	7.63	mg L-1	8.61	240	16.56	mg/L						
136	BDXH 	23	6	2016	6:56:00 PM	single	single	NO	30.80111111	108.8630556	11			63	1390.119019	µatm	indirect																			29.4	8.36	mg L-1	8.21	870	10	mg/L						
136	BCTH 	24	6	2016	2:34:00 PM	single	single	NO	30.89537	109.041271	11			134	1112.734619	µatm	indirect																	1.5	m/s 	22.2	8.43	mg L-1	7.89	102.3	9.95	mg/L						
136	BMXH 	25	6	2016	12:00:00 PM	single	single	NO	30.76111111	109.2602778	11			25	1067.734131	µatm	indirect																	1.3	m/s 	17.7	8.98	mg L-1	8.14	211	7.3	mg/L						
136	BMXH-2 	25	6	2016	1:30:00 PM	single	single	NO	30.8625	109.3927778	11			41	1034.165527	µatm	indirect																	2	m/s 	17.8	9	mg L-1	8.19	320	8.68	mg/L						
136	BJPH 	25	6	2016	3:10:00 PM	single	single	NO	30.88861111	109.5605556	11			47	585.178894	µatm	indirect																	2	m/s 	17.6	8.89	mg L-1	8.38	265	10.23	mg/L						
136	BGDH 	26	6	2016	12:23:00 PM	single	single	NO	30.95416667	109.8433333	11			33	959.1506958	µatm	indirect																	1	m/s 	16.1	9.44	mg L-1	8.26	278	9.92	mg/L						
136	BBLH 	26	6	2016	3:36:00 PM	single	single	NO	30.93583333	110.0047222	11			26	788.1325073	µatm	indirect																	1.5	m/s 	16.6	8.54	mg L-1	8.36	279	7.45	mg/L						
136	BWFH 	27	6	2016	11:32:00 AM	single	single	NO	30.94031	110.270876	11			9	578.8881226	µatm	indirect																	1.1	m/s 	16.3	9.03	mg L-1	8.4	303	8.53	mg/L						
136	BLFD 	27	6	2016	2:07:00 PM	single	single	NO	30.936804	110.589175	11			16	609.6983643	µatm	indirect																	1.1	m/s 	21.3	8.56	mg L-1	8.35	290	4.39	mg/L						
136	BQGH 	27	6	2016	3:00:00 PM	single	single	NO	30.9125	110.4888889	11			14	644.0325317	µatm	indirect																	0.2	m/s 	22.8	8.61	mg L-1	8.45	324	9.81	mg/L						
136	BJZH 	27	6	2016	4:48:00 PM	single	single	NO	30.90833333	110.6655	11			12	585.3895264	µatm	indirect																	1	m/s 	22.1	8.14	mg L-1	8.45	320	8.64	mg/L						
136	BJWX 	27	6	2016	6:00:00 PM	single	single	NO	30.77805556	110.8166667	11			40	630.6387939	µatm	indirect																	0.7	m/s 	18.3	9.52	mg L-1	8.39	280	8.33	mg/L						
136	BJWX-2 	27	6	2016	6:30:00 PM	single	single	NO	30.78444444	110.7955556	11			8	742.7555542	µatm	indirect																	1.2	m/s 	20.1	8.63	mg L-1	8.33	314	8.65	mg/L						
136	BMPH 	28	6	2016	10:20:00 AM	single	single	NO	30.77972222	110.9622222	11			6	920.0183105	µatm	indirect																	0.4	m/s 	21.1	8.63	mg L-1	8.35	353	11.2	mg/L						
136	BGLH 	28	6	2016	2:40:00 PM	single	single	NO	31.12416667	110.8225	11			150	555.8803101	µatm	indirect																	0.6	m/s 	21.5	8.3	mg L-1	8.52	321	22.38	mg/L						
136	BXXH 	28	6	2016	4:20:00 PM	single	single	NO	31.33527778	110.7505556	11			109	593.3251953	µatm	indirect																	0.9	m/s 	19.9			8.51	330	11.82	mg/L						
136	BSNX 	29	6	2016	11:32:00 AM	single	single	NO	31.22277778	110.2941667	11			170	50.16033554	µatm	indirect																	1.5	m/s 	19.3			9.38	232	7.44	mg/L						
136	BLXB 	29	6	2016	2:32:00 PM	single	single	NO	31.17916667	110.2686111	11			33	799.1425781	µatm	indirect																	0.9	m/s 	29.8			8.49	378	11.09	mg/L						
136	BBCH 	29	6	2016	4:31:00 PM	single	single	NO	31.212905	110.133685	11			7	1740.529419	µatm	indirect																	0.2	m/s 	27.7			8.24	438	21.81	mg/L						
136	BCaoT 	29	6	2016	5:29:00 PM	single	single	NO	31.09194444	109.6461111	11			38	616.3070679	µatm	indirect																	0.3	m/s 	28.7			8.54	501	11.23	mg/L						
136	BCJH 	30	6	2016	10:40:00 AM	single	single	NO	31.13222222	109.3553	11			25	515.4506226	µatm	indirect																	1.5	m/s 	22.8			8.5	371	8.35	mg/L						
136	BMeiXH 	30	6	2016	11:10:00 AM	single	single	NO	31.12694444	109.265	11			50	506.5562439	µatm	indirect																	1.5	m/s 	21.6			8.38	218	9.53	mg/L						
136	BCJB 	30	6	2016	11:40:00 AM	single	single	NO	31.1336	109.170179	11			43	418.7033081	µatm	indirect																	1.5	m/s 	22.9			8.34	162.8	7.22	mg/L						
136	BTXH 	30	6	2016	3:21:00 PM	single	single	NO	31.23805556	108.8	11			22	570.4961548	µatm	indirect																	0.8	m/s 	17.5			8.3	162	8.28	mg/L						
136	BGAOTH 	1	6	2016	10:31:00 AM	single	single	NO	30.29194444	107.4591667	11			90	1723.314819	µatm	indirect																		m/s 	23.3			7.93	249	9.28	mg/L						
136	BGJH 	1	6	2016	11:28:00 AM	single	single	NO	30.2094	107.496933	11			13	1048.17627	µatm	indirect																	0.8	m/s 	23.3			8.14	274	12.18	mg/L						
136	BLXH 	1	6	2016	2:41:00 PM	single	single	NO	29.84166667	107.1494444	11			100	4825.960449	µatm	indirect																	0.3	m/s 	25.9			7.51	379	12.3	mg/L						
136	BTXH 	1	6	2016	3:54:00 PM	single	single	NO	30.03305556	107.1230556	11			14	1894.977417	µatm	indirect																	0.3	m/s 	24.7			7.86	377	13.95	mg/L						
136	BWTH 	2	6	2016	10:50:00 AM	single	single	NO	29.86166667	106.8355556	11			24	1174.108765	µatm	indirect																	0.4	m/s 	23.3			8.16	300	10.59	mg/L						
136	BYLH 	2	6	2016	11:17:00 AM	single	single	NO	29.865	106.8469444	11			80	821.5087891	µatm	indirect																	0.2	m/s 	24.4			8.17	264	9.13	mg/L						
136	BDH-YB 	2	6	2016	11:37:00 AM	single	single	NO	29.914688	106.904293	11			56	1595.74353	µatm	indirect																	0.1	m/s 	27.6			7.99	322	10.86	mg/L						
136	BCTH-YL 	2	6	2016	2:49:00 PM	single	single	NO	29.551711	106.72921	11			47	897.3858032	µatm	indirect																		m/s 	27.7			8.18	270	10.72	mg/L						
136	BHXH 	2	6	2016	4:04:00 PM	single	single	NO	29.38861111	106.5936111	11			26	1153.948242	µatm	indirect																	0.1	m/s 	23.2			8.08	303	9.86	mg/L						
136	BYPH 	2	6	2016	5:25:00 PM	single	single	NO	29.278852	106.567609	11			24	980.9915161	µatm	indirect																	1	m/s 	24.2			8.1	232	8.43	mg/L						
136	BLTH-BSY 	2	6	2016	6:23:00 PM	single	single	NO	29.509189	106.366027	11			10	2908.393066	µatm	indirect																	0.2	m/s 	28.1			7.87	462	14.15	mg/L						
137	Lixiang River	25	10	2015		single	single	NO	29.508666	106.990526	11			31	1301.277954	µatm	indirect																			23.9	96.6	%	8.06	251	41.55	mg/L						
137	Longtan River	25	10	2015		single	single	NO	29.445937	107.10245	11			14	2944.582764	µatm	indirect																	0.4	m/s 	20.3	87.5	%	7.66	235	33.55	mg/L						
137	Nanbin River	25	10	2015		single	single	NO	30.03055556	108.1927	11			12	184.7585297	µatm	indirect																	0.8	m/s 	21.8	110	%	8.85	208.9	8.092	mg/L						
137	Huangjin River	25	10	2015		single	single	NO	30.408981	107.9942	11			28	1378.716553	µatm	indirect																	0.3	m/s 	24.3	126.1	%	8.24	363	17.95	mg/L						
137	Ruxi River	25	10	2015		single	single	NO	30.50257	108.0625	11			64	1142.028931	µatm	indirect																		m/s 	26.5	155.5	%	8.34	438	13.81	mg/L						
137	Modao River	25	10	2015		single	single	NO	30.675	108.6099	11			88	1324.177002	µatm	indirect																	1	m/s 	22	104.2	%	7.96	227	9.515	mg/L						
137	Sibu River	25	10	2015		single	single	NO	30.661617	108.602551	11			14	300.6890869	µatm	indirect																	0.45	m/s 	21.5	126.8	%	8.71	257	8.762	mg/L						
137	Daxi River	25	10	2015		single	single	NO	30.633672	108.8844	11			13	257.8483887	µatm	indirect																	0.3	m/s 	24	112	%	8.76	326	16.09	mg/L						
137	Changtan River	25	10	2015		single	single	NO	30.894978	109.040194	11			155	1291.497192	µatm	indirect																	0.6	m/s 	18.1	101.8	%	8.24	393	13.06	mg/L						
137	Moxi River - upper	25	10	2015		single	single	NO	30.76277778	109.260111	11			14	171.5615692	µatm	indirect																	0.2	m/s 	19.2	161.7	%	9.03	465	9.524	mg/L						
137	Moxi River - lower	25	10	2015		single	single	NO	30.8625	109.3922222	11			40	1806.326294	µatm	indirect																	0.6	m/s 	20.8	104.6	%	8	628	9.457	mg/L						
137	Jiupan River	25	10	2015		single	single	NO	30.873049	109.406424	11			5	1187.716797	µatm	indirect																	0.35	m/s 	19	100.4	%	8.22	313	12.89	mg/L						
137	Guandu River	25	10	2015		single	single	NO	30.88861111	109.5605556	11			45	1708.127197	µatm	indirect																	0.2	m/s 	19.1	104.8	%	8.09	395	16.68	mg/L						
137	Baolong River	25	10	2015		single	single	NO	30.96305556	109.8519444	11			17	974.9507446	µatm	indirect																	0.2	m/s 	20.7	102	%	8.24	373	9.1	mg/L						
137	Wanfu River	25	10	2015		single	single	NO	30.940362	110.2708333	11			6.5	1148.183472	µatm	indirect																	0.35	m/s 	18.5	96	%	8.17	345	9.218	mg/L						
137	Luoggudong River	25	10	2015		single	single	NO	30.9425	110.5930556	11			8	1102.158325	µatm	indirect																	0.35	m/s 	20.7	100.1	%	8.24	357	9.958	mg/L						
137	Qinggan River	25	10	2015		single	single	NO	30.91277778	110.4894444	11			25	1910.276978	µatm	indirect																	0.6	m/s 	21.5	96.2	%	8.07	479	6.026	mg/L						
137	Tongzhuang River	25	10	2015		single	single	NO	30.90916667	110.6661111	11			13	2730.574219	µatm	indirect																	0.35	m/s 	22.3	95.7	%	7.87	392	11.23	mg/L						
137	Maoping River	25	10	2015		single	single	NO	30.784028	110.79587	11			7	2605.121094	µatm	indirect																	0.6	m/s 	20.1	81.1	%	7.82	342	11.17	mg/L						
137	Gaolan River	25	10	2015		single	single	NO	30.779862	110.962469	11			8	2506.698242	µatm	indirect																	0.65	m/s 	19.2	86.2	%	7.94	336	11.44	mg/L						
137	Xiangxi River	25	10	2015		single	single	NO	31.339969	110.755166	11			60	1699.844849	µatm	indirect																	0.15	m/s 	19.7		%	8.11	362	13.55	mg/L						
137	Liangtai River	25	10	2015		single	single	NO	31.22555556	110.5463889	11			18	1344.130005	µatm	indirect																	0.5	m/s 	15.1	95	%	8.09	277	10.35	mg/L						
137	Shenlong River	25	10	2015		single	single	NO	31.223627	110.293323	11			170	837.8735962	µatm	indirect																	1	m/s 	16.1	98.2	%	8.22	241	8.144	mg/L						
137	Luoxiba River	25	10	2015		single	single	NO	31.17944444	110.2686111	11			18	865.1351318	µatm	indirect																	0.35	m/s 	19.9	95.7	%	8.4	360	11.36	mg/L						
137	Biancheng River	25	10	2015		single	single	NO	31.212262	110.13511	11			9	2270.145508	µatm	indirect																	0.35	m/s 	18.3	84.9	%	8.04	439	6.73	mg/L						
137	Caotang River	25	10	2015		single	single	NO	31.107216	109.653295	11			11	1304.615112	µatm	indirect																	0.4	m/s 	18.4		%	8.27	481	14.17	mg/L						
137	Pingding River	25	10	2015		single	single	NO	31.259	109.948329	11			19	1185.450195	µatm	indirect																	0.7	m/s 	15.4		%	8.18	270	5.962	mg/L						
137	Xiongjia River	25	10	2015		single	single	NO	31.395918	109.554155	11			35	1863.581787	µatm	indirect																	0.6	m/s 	17.4		%	8.09	430	13.07	mg/L						
137	Houxi River	25	10	2015		single	single	NO	31.39611111	109.6027778	11			25	1131.460571	µatm	indirect																	0.5	m/s 	15.9		%	8.15	492	6.645	mg/L						
137	Xixi River	25	10	2015		single	single	NO	31.53638889	109.6216667	11			30	754.196167	µatm	indirect																	0.35	m/s 	15.9		%	8.33	248	9.864	mg/L						
137	Daning River - upper	25	10	2015		single	single	NO	31.67076667	109.6099028	11			35	1019.456421	µatm	indirect																	1	m/s 	16.1	97	%	8.22	271	9.655	mg/L						
137	Daning River - lower	25	10	2015		single	single	NO	31.49823889	109.62635	11			21	1543.198364	µatm	indirect																	0.5	m/s 	16.6		%	8.11	402	6.884	mg/L						
137	Cuijia river	25	10	2015		single	single	NO	31.13222222	109.3558333	11			26	863.0999756	µatm	indirect																	1	m/s 	17.8	96.3	%	8.27	425	9.567	mg/L						
137	Chejiaba River	25	10	2015		single	single	NO	31.11805556	109.16885	11			15	805.0571289	µatm	indirect																	0.5	m/s 	16.9	98.2	%	8.18	206.5	10.3	mg/L						
137	Tangxi River	25	10	2015		single	single	NO	31.247143	108.810322	11			55	1126.949219	µatm	indirect																	1	m/s 	15.9		%	8.17	269	8.119	mg/L						
137	Donghe River	25	10	2015		single	single	NO	31.36555556	108.5156556	11			30	4151.704102	µatm	indirect																	0.4	m/s 	17.9		%	7.71	983	6.288	mg/L						
137	Nanhe River	25	10	2015		single	single	NO	31.07152778	108.1920861	11			27	1683.142334	µatm	indirect																	0.5	m/s 	17.4	90.1	%	8.04	358	13.11	mg/L						
137	Puli River	25	10	2015		single	single	NO	31.02045833	108.3145361	11			80	1940.874023	µatm	indirect																		m/s 	17.5		%	7.92	330	11.46	mg/L						
137	Sancha River	25	10	2015		single	single	NO	30.702219	108.090356	11			10	1508.732788	µatm	indirect																	0.35	m/s 	18.1	95.5	%	8.25	433	17.87	mg/L						
137	Gaotan River	25	10	2015		single	single	NO	30.30527778	107.4458	11			70	3268.44165	µatm	indirect																		m/s 	18.6		%	7.85	612	7.258	mg/L						
137	Dasha River	25	10	2015		single	single	NO	30.22353	107.502524	11			7	2456.813721	µatm	indirect																	0.13	m/s 	16.4		%	8.05	454	10.07	mg/L						
137	Longxi River	25	10	2015		single	single	NO	29.84577	107.158741	11			70	3437.299561	µatm	indirect																		m/s 	21.8	56.7	%	7.71	363	13.28	mg/L						
137	Taohuaxi River	25	10	2015		single	single	NO	30.016465	107.112641	11			13	5602.691406	µatm	indirect																	0.05	m/s 	18.8	40.7	%	7.7	587	21.99	mg/L						
137	Wentang river	25	10	2015		single	single	NO	29.858462	106.840259	11			20	811.9589844	µatm	indirect																	0.4	m/s 	20.1	106.1	%	8.21	329	10.08	mg/L						
137	Yulin River	25	10	2015		single	single	NO	29.864667	106.847024	11			77	1003.892273	µatm	indirect																	0.5	m/s 	19.1	106.1	%	8.26	468	7.806	mg/L						
137	Dong River	25	10	2015		single	single	NO	29.87296389	106.8905583	11			48	974.0263062	µatm	indirect																	0.25	m/s 	22.3		%	8.16	292	10.73	mg/L						
137	Changtang River	25	10	2015		single	single	NO	29.508817	106.719835	11			15	665.7290039	µatm	indirect																	0.3	m/s 	19.5	105	%	8.39	310	11.92	mg/L						
137	Wubu River	25	10	2015		single	single	NO	29.508553	106.80673	11			65	1986.348999	µatm	indirect																		m/s 	19.1	82.7	%	8.03	542	15.54	mg/L						
137	Huaxi River	25	10	2015		single	single	NO	29.38879722	106.593511	11			29	2801.619873	µatm	indirect																	0.05	m/s 	18.8	72.5	%	7.86	439	15.18	mg/L						
137	Yipin River	25	10	2015		single	single	NO	29.284416	106.563961	11			37	1391.17041	µatm	indirect																	0.6	m/s 	18.1	89.3	%	8.02	281	9.709	mg/L						
137	Qijiang River - upper	25	10	2015		single	single	NO	29.045851	106.567424	11			120	1989.600464	µatm	indirect																	1.5	m/s 	19.3		%	8	601	12.09	mg/L						
137	Puhe River	25	10	2015		single	single	NO	28.927159	106.780751	11			25	1481.163574	µatm	indirect																	0.1	m/s 	19.5		%	8.23	1058	15.56	mg/L						
137	Yangdu River	25	10	2015		single	single	NO	28.927384	106.77881	11			9	1564.618896	µatm	indirect																	0.45	m/s 	18.9	89.9	%	8.25	1120	15.4	mg/L						
137	Songkan River	25	10	2015		single	single	NO	28.74485	106.717427	11			60	1430.562622	µatm	indirect																	2	m/s 	18.3	95.3	%	8.23	715	12.98	mg/L						
137	Zaodu River	25	10	2015		single	single	NO	28.74588889	106.7178889	11			50	1010.92157	µatm	indirect																	0.45	m/s 	17.6	94.1	%	8.26	406	10.02	mg/L						
137	Sunxi River	25	10	2015		single	single	NO	29.11083889	106.3077	11			50	876.133606	µatm	indirect																	0.35	m/s 	18.4	95.7	%	8.06	208.2	7.931	mg/L						
137	Qijiang River - lower	25	10	2015		single	single	NO	29.101447	106.299502	11			70	1503.759888	µatm	indirect																	0.45	m/s 	19.7		%	8.09	597	14.2	mg/L						
137	Qingxi River	25	10	2015		single	single	NO	28.8333	106.407	11			14	1031.022461	µatm	indirect																		m/s 	19.3		%	7.82	179.1	6.49	mg/L						
137	Sunxi River	25	10	2015		single	single	NO	28.8748	106.3377	11			25	541.4226685	µatm	indirect																		m/s 	17.3	93.8	%	8.17	166.3	6.525	mg/L						
137	Liangtan River	25	10	2015		single	single	NO	29.509421	106.366301	11			8	5457.557129	µatm	indirect																	0.15	m/s 	18.1	60.3	%	7.75	710	24.66	mg/L						
137	Lixiang River	27	7	2016		single	single	NO	29.509294	106.991385	11			30	3533.723633	µatm	indirect																			29.1			7.57	233	26.08	mg/L						
137	Longtan River	27	7	2016		single	single	NO	29.445937	107.10245	11			20	4395.023438	µatm	indirect																			24.7			7.47	225	37.48	mg/L						
137	Long River	27	7	2016		single	single	NO	30.03055556	108.1927	11			27	1710.620483	µatm	indirect																	0.6	m/s 	23.5			7.84	202.3	22.03	mg/L						
137	Huangjin River	27	7	2016		single	single	NO	30.408981	107.9942	11			28	3528.855713	µatm	indirect																	0.4	m/s 	29			7.79	418	13.56	mg/L						
137	Ruxi River	27	7	2016		single	single	NO	30.50257	108.0625	11			64	3501.032715	µatm	indirect																		m/s 	33.5			7.82	344	31.8	mg/L						
